Time (S)	Ch1 Voltage (V)	Ch2 Voltage (V)	
-1.628E-3	0.04000	0.25000
-1.624E-3	0.06000	0.25000
-1.620E-3	0.02000	0.22000
-1.616E-3	0.06000	0.23000
-1.612E-3	0.06000	0.25000
-1.608E-3	0.02000	0.23000
-1.604E-3	0.04000	0.25000
-1.600E-3	0.04000	0.24000
-1.596E-3	0.06000	0.22000
-1.592E-3	0.02000	0.25000
-1.588E-3	0.00000	0.24000
-1.584E-3	0.04000	0.24000
-1.580E-3	-0.04000	0.24000
-1.576E-3	0.08000	0.24000
-1.572E-3	-0.02000	0.26000
-1.568E-3	-0.02000	0.23000
-1.564E-3	0.08000	0.22000
-1.560E-3	0.02000	0.25000
-1.556E-3	0.02000	0.23000
-1.552E-3	0.02000	0.25000
-1.548E-3	-0.02000	0.24000
-1.544E-3	0.06000	0.24000
-1.540E-3	0.02000	0.25000
-1.536E-3	0.06000	0.25000
-1.532E-3	0.02000	0.25000
-1.528E-3	0.02000	0.24000
-1.524E-3	0.08000	0.24000
-1.520E-3	-0.02000	0.22000
-1.516E-3	0.00000	0.25000
-1.512E-3	0.04000	0.22000
-1.508E-3	-0.02000	0.24000
-1.504E-3	0.08000	0.24000
-1.500E-3	0.02000	0.22000
-1.496E-3	0.04000	0.25000
-1.492E-3	0.04000	0.25000
-1.488E-3	0.12000	0.25000
-1.484E-3	0.06000	0.22000
-1.480E-3	0.06000	0.25000
-1.476E-3	0.02000	0.24000
-1.472E-3	-0.02000	0.24000
-1.468E-3	0.08000	0.25000
-1.464E-3	0.06000	0.25000
-1.460E-3	0.02000	0.24000
-1.456E-3	0.02000	0.25000
-1.452E-3	0.00000	0.25000
-1.448E-3	0.06000	0.24000
-1.444E-3	0.04000	0.25000
-1.440E-3	0.02000	0.25000
-1.436E-3	0.02000	0.25000
-1.432E-3	0.04000	0.24000
-1.428E-3	0.00000	0.22000
-1.424E-3	0.04000	0.25000
-1.420E-3	0.04000	0.24000
-1.416E-3	0.02000	0.25000
-1.412E-3	-0.02000	0.25000
-1.408E-3	0.02000	0.25000
-1.404E-3	0.00000	0.27000
-1.400E-3	-0.02000	0.24000
-1.396E-3	0.04000	0.25000
-1.392E-3	0.02000	0.25000
-1.388E-3	0.04000	0.25000
-1.384E-3	0.02000	0.24000
-1.380E-3	0.04000	0.24000
-1.376E-3	0.00000	0.25000
-1.372E-3	0.08000	0.25000
-1.368E-3	0.04000	0.22000
-1.364E-3	0.04000	0.25000
-1.360E-3	0.04000	0.25000
-1.356E-3	0.02000	0.24000
-1.352E-3	0.04000	0.25000
-1.348E-3	-0.02000	0.25000
-1.344E-3	0.04000	0.24000
-1.340E-3	0.04000	0.23000
-1.336E-3	0.00000	0.25000
-1.332E-3	0.04000	0.25000
-1.328E-3	0.04000	0.25000
-1.324E-3	0.04000	0.24000
-1.320E-3	0.02000	0.27000
-1.316E-3	0.00000	0.25000
-1.312E-3	0.04000	0.24000
-1.308E-3	0.08000	0.25000
-1.304E-3	0.04000	0.24000
-1.300E-3	0.02000	0.25000
-1.296E-3	0.04000	0.25000
-1.292E-3	-0.02000	0.24000
-1.288E-3	0.04000	0.24000
-1.284E-3	0.04000	0.23000
-1.280E-3	-0.06000	0.25000
-1.276E-3	0.04000	0.27000
-1.272E-3	0.06000	0.22000
-1.268E-3	0.02000	0.25000
-1.264E-3	0.02000	0.25000
-1.260E-3	0.00000	0.25000
-1.256E-3	0.02000	0.24000
-1.252E-3	0.04000	0.25000
-1.248E-3	-0.02000	0.25000
-1.244E-3	0.04000	0.27000
-1.240E-3	0.02000	0.24000
-1.236E-3	0.00000	0.24000
-1.232E-3	0.04000	0.24000
-1.228E-3	0.00000	0.22000
-1.224E-3	0.04000	0.25000
-1.220E-3	0.04000	0.24000
-1.216E-3	0.04000	0.24000
-1.212E-3	0.04000	0.25000
